trial,rt,response,world,img1_1,img1_2,img2_1,img2_2,recording1_1,recording1_2,recording2_1,recording2_2,sim_x_result1,sim_x_result2,filler,color0_probe_img1,color1_probe_img0,color1_probe_img1,color0_probe_img0,probe_obj,probe_obj_idx,probe_shift_id,worldtype,teleporter_entry_color_idx,teleporter_entry_color,pid,answer,img,counterbalance_id,correct_conf,correct
1,7830,0,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,assets/targets/0091/outlinestim_world1_probe2_2_1.png,assets/targets/0091/outlinestim_world2_probe2_2_0.png,assets/targets/0091/outlinestim_world2_probe2_2_1.png,assets/targets/0091/outlinestim_world1_probe2_2_0.png,noteleport_consistent,2,2,2,0,brown,6706a3178e68f852ab949092,0,assets/targets/0091/outlinestim_world2_probe2_2_1.png,1,100,True
2,5771,0,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,assets/targets/0042/outlinestim_world1_probe1_2_1.png,assets/targets/0042/outlinestim_world2_probe1_2_0.png,assets/targets/0042/outlinestim_world2_probe1_2_1.png,assets/targets/0042/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0042/outlinestim_world2_probe1_2_0.png,0,0,False
3,5306,0,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,assets/targets/0072/outlinestim_world1_probe2_1_1.png,assets/targets/0072/outlinestim_world2_probe2_1_0.png,assets/targets/0072/outlinestim_world2_probe2_1_1.png,assets/targets/0072/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,2,0,brown,6706a3178e68f852ab949092,0,assets/targets/0072/outlinestim_world2_probe2_1_1.png,1,100,True
4,6959,100,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,assets/targets/0025/outlinestim_world1_probe0_1_1.png,assets/targets/0025/outlinestim_world2_probe0_1_0.png,assets/targets/0025/outlinestim_world2_probe0_1_1.png,assets/targets/0025/outlinestim_world1_probe0_1_0.png,nocol,0,1,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0025/outlinestim_world2_probe0_1_0.png,0,100,True
5,4822,0,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,assets/targets/0064/outlinestim_world1_probe0_2_1.png,assets/targets/0064/outlinestim_world2_probe0_2_0.png,assets/targets/0064/outlinestim_world2_probe0_2_1.png,assets/targets/0064/outlinestim_world1_probe0_2_0.png,nocol,0,2,2,0,brown,6706a3178e68f852ab949092,0,assets/targets/0064/outlinestim_world2_probe0_2_1.png,1,100,True
6,6432,0,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,assets/targets/0024/outlinestim_world1_probe0_1_1.png,assets/targets/0024/outlinestim_world2_probe0_1_0.png,assets/targets/0024/outlinestim_world2_probe0_1_1.png,assets/targets/0024/outlinestim_world1_probe0_1_0.png,nocol,0,1,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0024/outlinestim_world2_probe0_1_0.png,0,0,False
7,3723,100,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,assets/targets/0052/outlinestim_world1_probe0_2_1.png,assets/targets/0052/outlinestim_world2_probe0_2_0.png,assets/targets/0052/outlinestim_world2_probe0_2_1.png,assets/targets/0052/outlinestim_world1_probe0_2_0.png,nocol,0,2,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0052/outlinestim_world2_probe0_2_0.png,0,100,True
8,23445,100,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,assets/targets/0069/outlinestim_world1_probe0_2_1.png,assets/targets/0069/outlinestim_world2_probe0_2_0.png,assets/targets/0069/outlinestim_world2_probe0_2_1.png,assets/targets/0069/outlinestim_world1_probe0_2_0.png,nocol,0,2,2,0,brown,6706a3178e68f852ab949092,1,assets/targets/0069/outlinestim_world2_probe0_2_0.png,0,100,True
0,21652,74,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,assets/targets/0025/outlinestim_world1_probe1_1_1.png,assets/targets/0025/outlinestim_world2_probe1_1_0.png,assets/targets/0025/outlinestim_world2_probe1_1_1.png,assets/targets/0025/outlinestim_world1_probe1_1_0.png,teleport_consistent,1,1,1,0,brown,60ba36a23cc2c56419ae0f1e,1,assets/targets/0025/outlinestim_world1_probe1_1_0.png,0,74,True
1,16131,22,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,assets/targets/0072/outlinestim_world1_probe2_2_1.png,assets/targets/0072/outlinestim_world2_probe2_2_0.png,assets/targets/0072/outlinestim_world2_probe2_2_1.png,assets/targets/0072/outlinestim_world1_probe2_2_0.png,noteleport_consistent,2,2,1,0,brown,60ba36a23cc2c56419ae0f1e,0,assets/targets/0072/outlinestim_world1_probe2_2_1.png,1,78,True
2,8069,76,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,assets/targets/0052/outlinestim_world1_probe1_2_1.png,assets/targets/0052/outlinestim_world2_probe1_2_0.png,assets/targets/0052/outlinestim_world2_probe1_2_1.png,assets/targets/0052/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,1,0,brown,60ba36a23cc2c56419ae0f1e,1,assets/targets/0052/outlinestim_world1_probe1_2_0.png,0,76,True
3,6412,28,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,assets/targets/0024/outlinestim_world1_probe1_2_1.png,assets/targets/0024/outlinestim_world2_probe1_2_0.png,assets/targets/0024/outlinestim_world2_probe1_2_1.png,assets/targets/0024/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,1,0,brown,60ba36a23cc2c56419ae0f1e,0,assets/targets/0024/outlinestim_world1_probe1_2_1.png,1,72,True
4,7048,81,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,assets/targets/0045/outlinestim_world1_probe2_1_1.png,assets/targets/0045/outlinestim_world2_probe2_1_0.png,assets/targets/0045/outlinestim_world2_probe2_1_1.png,assets/targets/0045/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,2,0,brown,60ba36a23cc2c56419ae0f1e,1,assets/targets/0045/outlinestim_world2_probe2_1_0.png,0,81,True
5,6629,24,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,assets/targets/0064/outlinestim_world1_probe2_2_1.png,assets/targets/0064/outlinestim_world2_probe2_2_0.png,assets/targets/0064/outlinestim_world2_probe2_2_1.png,assets/targets/0064/outlinestim_world1_probe2_2_0.png,noteleport_consistent,2,2,1,0,brown,60ba36a23cc2c56419ae0f1e,0,assets/targets/0064/outlinestim_world1_probe2_2_1.png,1,76,True
6,6921,73,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,assets/targets/0069/outlinestim_world1_probe2_1_1.png,assets/targets/0069/outlinestim_world2_probe2_1_0.png,assets/targets/0069/outlinestim_world2_probe2_1_1.png,assets/targets/0069/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,1,0,brown,60ba36a23cc2c56419ae0f1e,0,assets/targets/0069/outlinestim_world1_probe2_1_1.png,1,27,False
7,6791,78,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,assets/targets/0091/outlinestim_world1_probe1_2_1.png,assets/targets/0091/outlinestim_world2_probe1_2_0.png,assets/targets/0091/outlinestim_world2_probe1_2_1.png,assets/targets/0091/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,1,0,brown,60ba36a23cc2c56419ae0f1e,1,assets/targets/0091/outlinestim_world1_probe1_2_0.png,0,78,True
8,8623,17,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,assets/targets/0042/outlinestim_world1_probe1_1_1.png,assets/targets/0042/outlinestim_world2_probe1_1_0.png,assets/targets/0042/outlinestim_world2_probe1_1_1.png,assets/targets/0042/outlinestim_world1_probe1_1_0.png,teleport_consistent,1,1,1,0,brown,60ba36a23cc2c56419ae0f1e,0,assets/targets/0042/outlinestim_world1_probe1_1_1.png,1,83,True
0,60216,84,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,assets/targets/0069/outlinestim_world1_probe1_2_1.png,assets/targets/0069/outlinestim_world2_probe1_2_0.png,assets/targets/0069/outlinestim_world2_probe1_2_1.png,assets/targets/0069/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,1,1,blue,5dd8529f332b3480549fd43b,1,assets/targets/0069/outlinestim_world2_probe1_2_0.png,0,84,True
1,9582,50,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,assets/targets/0045/outlinestim_world1_probe0_2_1.png,assets/targets/0045/outlinestim_world2_probe0_2_0.png,assets/targets/0045/outlinestim_world2_probe0_2_1.png,assets/targets/0045/outlinestim_world1_probe0_2_0.png,nocol,0,2,1,1,blue,5dd8529f332b3480549fd43b,0,assets/targets/0045/outlinestim_world2_probe0_2_1.png,1,50,True
2,7266,50,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,assets/targets/0072/outlinestim_world1_probe1_2_1.png,assets/targets/0072/outlinestim_world2_probe1_2_0.png,assets/targets/0072/outlinestim_world2_probe1_2_1.png,assets/targets/0072/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,2,1,blue,5dd8529f332b3480549fd43b,1,assets/targets/0072/outlinestim_world1_probe1_2_0.png,0,50,True
3,21638,62,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,assets/targets/0052/outlinestim_world1_probe2_1_1.png,assets/targets/0052/outlinestim_world2_probe2_1_0.png,assets/targets/0052/outlinestim_world2_probe2_1_1.png,assets/targets/0052/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,2,1,blue,5dd8529f332b3480549fd43b,0,assets/targets/0052/outlinestim_world1_probe2_1_1.png,1,38,False
4,13260,50,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,assets/targets/0042/outlinestim_world1_probe1_2_1.png,assets/targets/0042/outlinestim_world2_probe1_2_0.png,assets/targets/0042/outlinestim_world2_probe1_2_1.png,assets/targets/0042/outlinestim_world1_probe1_2_0.png,teleport_consistent,1,2,2,1,blue,5dd8529f332b3480549fd43b,1,assets/targets/0042/outlinestim_world1_probe1_2_0.png,0,50,True
5,4184,50,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,assets/targets/0025/outlinestim_world1_probe0_2_1.png,assets/targets/0025/outlinestim_world2_probe0_2_0.png,assets/targets/0025/outlinestim_world2_probe0_2_1.png,assets/targets/0025/outlinestim_world1_probe0_2_0.png,nocol,0,2,1,1,blue,5dd8529f332b3480549fd43b,1,assets/targets/0025/outlinestim_world2_probe0_2_0.png,0,50,True
6,3565,50,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,assets/targets/0091/outlinestim_world1_probe2_1_1.png,assets/targets/0091/outlinestim_world2_probe2_1_0.png,assets/targets/0091/outlinestim_world2_probe2_1_1.png,assets/targets/0091/outlinestim_world1_probe2_1_0.png,noteleport_consistent,2,1,1,1,blue,5dd8529f332b3480549fd43b,0,assets/targets/0091/outlinestim_world2_probe2_1_1.png,1,50,True
7,8485,66,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,assets/targets/0024/outlinestim_world1_probe2_2_1.png,assets/targets/0024/outlinestim_world2_probe2_2_0.png,assets/targets/0024/outlinestim_world2_probe2_2_1.png,assets/targets/0024/outlinestim_world1_probe2_2_0.png,noteleport_consistent,2,2,2,1,blue,5dd8529f332b3480549fd43b,1,assets/targets/0024/outlinestim_world1_probe2_2_0.png,0,66,True
8,6121,50,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,assets/targets/0064/outlinestim_world1_probe0_2_1.png,assets/targets/0064/outlinestim_world2_probe0_2_0.png,assets/targets/0064/outlinestim_world2_probe0_2_1.png,assets/targets/0064/outlinestim_world1_probe0_2_0.png,nocol,0,2,2,1,blue,5dd8529f332b3480549fd43b,0,assets/targets/0064/outlinestim_world1_probe0_2_1.png,1,50,True
0,32580,100,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,assets/targets/0052/outlinestim_world1_probe0_2_1.png,assets/targets/0052/outlinestim_world2_probe0_2_0.png,assets/targets/0052/outlinestim_world2_probe0_2_1.png,assets/targets/0052/outlinestim_world1_probe0_2_0.png,nocol,0,2,1,1,blue,667635a0e819fe4b373a9f66,0,assets/targets/0052/outlinestim_world2_probe0_2_1.png,1,0,False
1,5445,48,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,assets/targets/0024/outlinestim_world1_probe0_1_1.png,assets/targets/0024/outlinestim_world2_probe0_1_0.png,assets/targets/0024/outlinestim_world2_probe0_1_1.png,assets/targets/0024/outlinestim_world1_probe0_1_0.png,nocol,0,1,1,1,blue,667635a0e819fe4b373a9f66,0,assets/targets/0024/outlinestim_world2_probe0_1_1.png,1,52,True
2,5908,48,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,assets/targets/0045/outlinestim_world1_probe2_2_1.png,assets/targets/0045/outlinestim_world2_probe2_2_0.png,assets/targets/0045/outlinestim_world2_probe2_2_1.png,assets/targets/0045/outlinestim_world1_probe2_2_0.png,noteleport_consistent,2,2,2,1,blue,667635a0e819fe4b373a9f66,1,assets/targets/0045/outlinestim_world1_probe2_2_0.png,0,48,False
