rmse,r,decay
0.18084938993111807,0.8652076017003159,0.0
0.16796546198604384,0.8643094808748992,0.05
0.15669969735172762,0.8633293215611928,0.1
0.14626389657555164,0.8615721532974098,0.15000000000000002
0.13674621962515654,0.8587658063564673,0.2
0.1307201670994623,0.8535378844602546,0.25
0.12266722670646088,0.8531899789749474,0.30000000000000004
0.11867310270160945,0.8426448407210633,0.35000000000000003
0.113568542512001,0.8406143349101906,0.4
0.11125517755969201,0.834155409298826,0.45
0.1089309947039299,0.8273380305085208,0.5
