relevance_del,object,world
60.48517965910937,bottombump_2,hh_hl_unlink_plinko_0246
34.33315546961616,topbump_0,hh_hl_unlink_plinko_0105
150.8380775243622,topbump_1,hh_hl_unlink_plinko_0105
17.847439575231846,topbump_2,hh_hl_unlink_plinko_0105
36.02706197881902,topbump_3,hh_hl_unlink_plinko_0105
12.46551128286314,topbump_4,hh_hl_unlink_plinko_0105
58.3291827858328,bottombump_0,hh_hl_unlink_plinko_0105
35.36810463515432,bottombump_1,hh_hl_unlink_plinko_0105
50.73014065210228,bottombump_2,hh_hl_unlink_plinko_0105
155.9863665710085,topbump_0,hh_hl_unlink_plinko_0252
29.3563534598271,topbump_1,hh_hl_unlink_plinko_0252
39.22359551211497,topbump_2,hh_hl_unlink_plinko_0252
47.018622560121564,topbump_3,hh_hl_unlink_plinko_0252
23.292392017017267,topbump_4,hh_hl_unlink_plinko_0252
38.50789356112575,bottombump_0,hh_hl_unlink_plinko_0252
17.385368189621957,bottombump_1,hh_hl_unlink_plinko_0252
14.033783636118855,bottombump_2,hh_hl_unlink_plinko_0252
70.97510620072988,bottombump_3,hh_hl_unlink_plinko_0252
22.82413432333781,topbump_0,lh_hl_unlink_plinko_0111
157.17032762585512,topbump_1,lh_hl_unlink_plinko_0111
34.89273561101268,topbump_2,lh_hl_unlink_plinko_0111
64.06821933989583,topbump_3,lh_hl_unlink_plinko_0111
28.198904675807476,bottombump_0,lh_hl_unlink_plinko_0111
75.14530831141033,bottombump_1,lh_hl_unlink_plinko_0111
