relevance_translate,obj_name,world,object
116.06854453248872,bottombump_0#1,lh_ll_unlink_plinko_0155,bottombump_0
44.23985899275727,topbump_3,hh_hl_unlink_plinko_0246,topbump_3
23.727070519869635,topbump_2,hh_hl_unlink_plinko_0246,topbump_2
42.1456508110596,bottombump_1,hh_hl_unlink_plinko_0246,bottombump_1
118.13928369288082,topbump_3#1,hh_hl_unlink_plinko_0246,topbump_3
21.683373189861054,topbump_2#1,hh_hl_unlink_plinko_0246,topbump_2
16.297244546632555,bottombump_1#1,hh_hl_unlink_plinko_0246,bottombump_1
187.58249303786758,topbump_1,hh_hl_unlink_plinko_0105,topbump_1
13.552276746635624,topbump_4,hh_hl_unlink_plinko_0105,topbump_4
29.96254760065432,bottombump_0,hh_hl_unlink_plinko_0105,bottombump_0
117.95493580768868,topbump_1#1,hh_hl_unlink_plinko_0105,topbump_1
21.503495546315015,topbump_4#1,hh_hl_unlink_plinko_0105,topbump_4
40.02572318866757,bottombump_0#1,hh_hl_unlink_plinko_0105,bottombump_0
142.04878812447794,topbump_0,hh_hl_unlink_plinko_0252,topbump_0
16.96354213551811,bottombump_1,hh_hl_unlink_plinko_0252,bottombump_1
30.5843942994626,bottombump_3,hh_hl_unlink_plinko_0252,bottombump_3
86.9014754495134,topbump_0#1,hh_hl_unlink_plinko_0252,topbump_0
49.559629687799706,bottombump_1#1,hh_hl_unlink_plinko_0252,bottombump_1
27.486689886657143,bottombump_3#1,hh_hl_unlink_plinko_0252,bottombump_3
148.50969160740794,topbump_1,lh_hl_unlink_plinko_0111,topbump_1
47.422489418099076,topbump_2,lh_hl_unlink_plinko_0111,topbump_2
36.46411171069132,bottombump_1,lh_hl_unlink_plinko_0111,bottombump_1
120.94447182184673,topbump_1#1,lh_hl_unlink_plinko_0111,topbump_1
28.94122560509958,topbump_2#1,lh_hl_unlink_plinko_0111,topbump_2
77.88491976106675,bottombump_1#1,lh_hl_unlink_plinko_0111,bottombump_1
