trial,rt,response,world,img1_1,img1_2,img2_1,img2_2,recording1_1,recording1_2,recording2_1,recording2_2,sim_x_result1,sim_x_result2,filler,probe_obj,probe_shift_id,worldtype,teleporter_entry_color_idx,teleporter_entry_color,pid,img
5,8774,19,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,nocol,1,2,0,brown,66bab504623f0f6b4707c542,assets/targets/0042/base_nocol_2_red.jpg
6,17056,57,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,2,2,2,0,brown,66bab504623f0f6b4707c542,assets/targets/0072/base_2_2_red.jpg
7,8614,2,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,1,1,2,0,brown,66bab504623f0f6b4707c542,assets/targets/0045/base_1_2_red.jpg
8,8079,59,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,2,1,2,0,brown,66bab504623f0f6b4707c542,assets/targets/0069/base_2_2_red.jpg
0,31572,76,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,2,2,2,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0072/base_2_2_red.jpg
1,51704,0,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,nocol,1,1,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0064/base_nocol_1_red.jpg
2,5025,0,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,2,2,1,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0052/base_2_1_red.jpg
3,7389,0,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,1,2,2,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0024/base_1_2_red.jpg
4,60183,0,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,nocol,1,1,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0025/base_nocol_1_red.jpg
5,7073,0,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,1,2,2,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0091/base_1_2_red.jpg
6,9003,0,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,nocol,2,2,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0042/base_nocol_2_red.jpg
7,5389,100,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,1,1,1,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0069/base_1_1_red.jpg
8,4572,0,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,nocol,1,2,0,brown,661d7269de07dfaa0b7eb431,assets/targets/0045/base_nocol_2_red.jpg
0,133882,38,0052,assets/targets/0052/img1_1.png,assets/targets/0052/img1_2.png,assets/targets/0052/img2_1.png,assets/targets/0052/img2_2.png,assets/targets/0052/recording1_1.mp4,assets/targets/0052/recording1_2.mp4,assets/targets/0052/recording2_1.mp4,assets/targets/0052/recording2_2.mp4,570.2567171334038,231.9134273051645,False,nocol,2,2,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0052/base_nocol_2_red.jpg
1,13819,100,0069,assets/targets/0069/img1_1.png,assets/targets/0069/img1_2.png,assets/targets/0069/img2_1.png,assets/targets/0069/img2_2.png,assets/targets/0069/recording1_1.mp4,assets/targets/0069/recording1_2.mp4,assets/targets/0069/recording2_1.mp4,assets/targets/0069/recording2_2.mp4,45.99293272938177,282.53465008228795,False,1,2,1,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0069/base_1_1_red.jpg
2,47391,0,0025,assets/targets/0025/img1_1.png,assets/targets/0025/img1_2.png,assets/targets/0025/img2_1.png,assets/targets/0025/img2_2.png,assets/targets/0025/recording1_1.mp4,assets/targets/0025/recording1_2.mp4,assets/targets/0025/recording2_1.mp4,assets/targets/0025/recording2_2.mp4,275.75178627094397,548.0849702817209,False,1,2,2,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0025/base_1_2_red.jpg
3,20496,0,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,nocol,2,1,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0045/base_nocol_1_red.jpg
4,79324,0,0072,assets/targets/0072/img1_1.png,assets/targets/0072/img1_2.png,assets/targets/0072/img2_1.png,assets/targets/0072/img2_2.png,assets/targets/0072/recording1_1.mp4,assets/targets/0072/recording1_2.mp4,assets/targets/0072/recording2_1.mp4,assets/targets/0072/recording2_2.mp4,263.49876924364594,480.2927000755407,False,1,2,2,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0072/base_1_2_red.jpg
5,7222,0,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,1,1,2,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0042/base_1_2_red.jpg
6,8359,100,0024,assets/targets/0024/img1_1.png,assets/targets/0024/img1_2.png,assets/targets/0024/img2_1.png,assets/targets/0024/img2_2.png,assets/targets/0024/recording1_1.mp4,assets/targets/0024/recording1_2.mp4,assets/targets/0024/recording2_1.mp4,assets/targets/0024/recording2_2.mp4,392.50547349657757,36.17405762242421,False,1,1,1,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0024/base_1_1_red.jpg
7,4383,100,0091,assets/targets/0091/img1_1.png,assets/targets/0091/img1_2.png,assets/targets/0091/img2_1.png,assets/targets/0091/img2_2.png,assets/targets/0091/recording1_1.mp4,assets/targets/0091/recording1_2.mp4,assets/targets/0091/recording2_1.mp4,assets/targets/0091/recording2_2.mp4,360.26329222466995,232.43135081432789,False,1,1,1,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0091/base_1_1_red.jpg
8,5157,0,0064,assets/targets/0064/img1_1.png,assets/targets/0064/img1_2.png,assets/targets/0064/img2_1.png,assets/targets/0064/img2_2.png,assets/targets/0064/recording1_1.mp4,assets/targets/0064/recording1_2.mp4,assets/targets/0064/recording2_1.mp4,assets/targets/0064/recording2_2.mp4,572.435126403118,233.99006146723664,False,1,1,2,0,brown,65ca4cf5aae33168f7873a33,assets/targets/0064/base_1_2_red.jpg
0,15658,0,0042,assets/targets/0042/img1_1.png,assets/targets/0042/img1_2.png,assets/targets/0042/img2_1.png,assets/targets/0042/img2_2.png,assets/targets/0042/recording1_1.mp4,assets/targets/0042/recording1_2.mp4,assets/targets/0042/recording2_1.mp4,assets/targets/0042/recording2_2.mp4,302.7180979554031,305.896846954325,False,nocol,2,2,0,brown,63f94e6a56d57031c54cb24c,assets/targets/0042/base_nocol_2_red.jpg
1,8629,0,0045,assets/targets/0045/img1_1.png,assets/targets/0045/img1_2.png,assets/targets/0045/img2_1.png,assets/targets/0045/img2_2.png,assets/targets/0045/recording1_1.mp4,assets/targets/0045/recording1_2.mp4,assets/targets/0045/recording2_1.mp4,assets/targets/0045/recording2_2.mp4,436.6559051772762,257.95950551802974,False,nocol,1,2,0,brown,63f94e6a56d57031c54cb24c,assets/targets/0045/base_nocol_2_red.jpg
