alpha,rmse,r
400.0,0.1627773248832271,-0.5675217680616023
397.3334,0.16280953812815288,-0.567635592335009
394.66679999999997,0.16284220287371778,-0.5677509499462216
392.00019999999995,0.16287532864533633,-0.5678678720049138
389.3336,0.16290892523739287,-0.5679863904657367
386.667,0.162943002722774,-0.5681065381571232
384.00039999999996,0.16297757146280828,-0.5682283488111934
381.3338,0.16301264211763403,-0.5683518570951037
378.6672,0.1630482256570156,-0.5684770986434593
376.00059999999996,0.16308433337163203,-0.5686041100922508
373.33399999999995,0.16312097688486157,-0.568732929114167
370.6674,0.16315816816508802,-0.5688635944553923
368.00079999999997,0.16319591953855556,-0.5689961459740134
365.33419999999995,0.1632342437028011,-0.5691306246800515
362.6676,0.16327315374069432,-0.5692670727772604
360.001,0.16331266313511775,-0.5694055337067158
357.33439999999996,0.16335278578432116,-0.5695460521923468
354.6678,0.1633935360179864,-0.5696886742884977
352.0012,0.16343492861404096,-0.5698334474295526
349.33459999999997,0.1634769788162625,-0.5699804204818846
346.66799999999995,0.16351970235271557,-0.5701296437980737
344.0014,0.1635631154550694,-0.5702811692736499
341.3348,0.16360723487884382,-0.5704350504064037
338.66819999999996,0.16365207792463732,-0.5705913423585424
336.0016,0.1636976624603916,-0.570750102021561
333.335,0.16374400694475325,-0.5709113880843772
330.66839999999996,0.16379113045159543,-0.5710752611045545
328.00179999999995,0.16383905269576676,-0.5712417835829581
325.3352,0.16388779406013995,-0.5714110200420488
322.66859999999997,0.16393737562403718,-0.5715830371079075
320.00199999999995,0.1639878191931136,-0.5717579035963221
317.3354,0.1640391473307878,-0.5719356906030839
314.6688,0.16409138339131277,-0.572116471598818
312.00219999999996,0.1641445515545864,-0.572300322528464
309.3356,0.1641986768628121,-0.5724873219159048
306.669,0.16425378525912113,-0.5726775509738544
304.00239999999997,0.1643099036282822,-0.5728710937193189
301.33579999999995,0.16436705983963046,-0.5730680370952171
298.6692,0.16442528279235638,-0.5732684710981334
296.0026,0.16448460246330862,-0.5734724889129588
293.33599999999996,0.16454504995747316,-0.5736801870545615
290.6694,0.16460665756130527,-0.5738916655171526
288.0028,0.16466945879910344,-0.5741070279316104
285.33619999999996,0.16473348849262817,-0.5743263817314251
282.6696,0.16479878282418575,-0.5745498383277649
280.003,0.16486537940341298,-0.5747775132942224
277.33639999999997,0.1649333173380175,-0.5750095265619352
274.66979999999995,0.16500263730874817,-0.5752460026256377
272.0032,0.16507338164889446,-0.5754870707615342
269.3366,0.16514559442863264,-0.5757328652576335
266.66999999999996,0.16521932154456903,-0.5759835256574541
264.0034,0.16529461081485405,-0.5762391970180185
261.3368,0.16537151208027417,-0.5765000301830195
258.67019999999997,0.1654500773117639,-0.5767661820723889
256.0036,0.16553036072481522,-0.5770378159891882
253.337,0.1656124189013049,-0.577315101945237
250.67039999999997,0.16569631091930356,-0.5775982170066302
248.00379999999998,0.16578209849148176,-0.5778873456608117
245.33719999999997,0.16586984611278022,-0.5781826802064761
242.67059999999998,0.1659596212180734,-0.5784844211681931
240.004,0.16605149435062033,-0.5787927777374903
237.33739999999997,0.1661455393421697,-0.5791079682423548
234.67079999999999,0.16624183350566554,-0.579430220647346
232.00419999999997,0.1663404578415906,-0.5797597730866303
229.33759999999998,0.16644149725907867,-0.5800968744323871
226.671,0.16654504081304033,-0.5804417849015086
224.00439999999998,0.16665118195866266,-0.5807947767033981
221.3378,0.16676001882477928,-0.5811561347322747
218.67119999999997,0.16687165450775526,-0.5815261573074805
216.00459999999998,0.16698619738769435,-0.5819051569656529
213.33799999999997,0.1671037614689628,-0.5822934613090632
210.67139999999998,0.1672244667472265,-0.5826914139147219
208.0048,0.16734843960542736,-0.5830993753093414
205.33819999999997,0.16747581324138186,-0.5835177240157
202.67159999999998,0.16760672812996935,-0.5839468576765029
200.00499999999997,0.16774133252319945,-0.58438719426244
197.33839999999998,0.16787978299180917,-0.5848391733717414
194.6718,0.168022245012444,-0.5853032576293801
192.00519999999997,0.16816889360493448,-0.5857799341946768
189.33859999999999,0.16831991402469426,-0.5862697163871958
186.67199999999997,0.16847550251584661,-0.586773145441631
184.00539999999998,0.16863586713134382,-0.5872907924036187
181.3388,0.16880122862708904,-0.5878232601795376
178.67219999999998,0.16897182143791586,-0.5883711857549225
176.0056,0.16914789474424097,-0.5889352425974158
173.33899999999997,0.16932971363930288,-0.5895161432621576
170.67239999999998,0.1695175604081458,-0.5901146422192598
168.0058,0.16971173593093858,-0.5907315389253124
165.33919999999998,0.16991256122485338,-0.591367681163194
162.6726,0.17012037914060613,-0.5920239686772267
160.00599999999997,0.1703355562319198,-0.5927013571338231
157.33939999999998,0.1705584848186591,-0.593400862441071
154.6728,0.17078958526725796,-0.5941235654647145
152.00619999999998,0.1710293085153852,-0.5948706171821775
