trial,rt,response,img,recording,world,true_goal,filler,base_probe,distractor_probe,true_color,answer,probetype,probe_num,object,worldtype,pid,confidence,correct_conf,correct
4,18635,26,assets/targets/lh_ll_unlink_plinko_0002/img.jpg,assets/targets/lh_ll_unlink_plinko_0002/recording.mp4,lh_ll_unlink_plinko_0002,goal_1,False,assets/targets/lh_ll_unlink_plinko_0002/base1blue.jpg,assets/targets/lh_ll_unlink_plinko_0002/col1red.jpg,blue,1,col1,0,topbump_2,NA,622a11c552b2b35bab72a39c,24,26,0
5,14663,0,assets/targets/lh_hh_trNM_plinko_0000/img.jpg,assets/targets/lh_hh_trNM_plinko_0000/recording.mp4,lh_hh_trNM_plinko_0000,goal_0,False,assets/targets/lh_hh_trNM_plinko_0000/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0000/col1blue.jpg,red,0,col1,0,bottombump_0,definite,622a11c552b2b35bab72a39c,50,100,1
6,11215,0,assets/targets/lh_hh_plinko_0002/img.jpg,assets/targets/lh_hh_plinko_0002/recording.mp4,lh_hh_plinko_0002,goal_2,False,assets/targets/lh_hh_plinko_0002/base1red.jpg,assets/targets/lh_hh_plinko_0002/col1blue.jpg,red,0,col1,0,bottombump_0,definite,622a11c552b2b35bab72a39c,50,100,1
7,8624,100,assets/targets/lh_hh_plinko_0003/img.jpg,assets/targets/lh_hh_plinko_0003/recording.mp4,lh_hh_plinko_0003,goal_4,False,assets/targets/lh_hh_plinko_0003/base1blue.jpg,assets/targets/lh_hh_plinko_0003/col11red.jpg,blue,1,col1,1,topbump_1,NA,622a11c552b2b35bab72a39c,50,100,1
8,13238,50,assets/targets/hh_hl_unlink_plinko_0202/img.jpg,assets/targets/hh_hl_unlink_plinko_0202/recording.mp4,hh_hl_unlink_plinko_0202,goal_0,False,assets/targets/hh_hl_unlink_plinko_0202/base1blue.jpg,assets/targets/hh_hl_unlink_plinko_0202/col11red.jpg,blue,1,col1,1,bottombump_0,maybe,622a11c552b2b35bab72a39c,0,50,0
9,19679,79,assets/targets/hh_hl_unlink_plinko_0246/img.jpg,assets/targets/hh_hl_unlink_plinko_0246/recording.mp4,hh_hl_unlink_plinko_0246,goal_2,False,assets/targets/hh_hl_unlink_plinko_0246/base1blue.jpg,assets/targets/hh_hl_unlink_plinko_0246/col1red.jpg,blue,1,col1,0,bump_6,maybe,622a11c552b2b35bab72a39c,29,79,1
10,8028,100,assets/targets/lh_hh_plinko_0001/img.jpg,assets/targets/lh_hh_plinko_0001/recording.mp4,lh_hh_plinko_0001,goal_3,False,assets/targets/lh_hh_plinko_0001/base1blue.jpg,assets/targets/lh_hh_plinko_0001/col11red.jpg,blue,1,col1,1,topbump_0,NA,622a11c552b2b35bab72a39c,50,100,1
11,11130,0,assets/targets/lh_hh_plinko_0000/img.jpg,assets/targets/lh_hh_plinko_0000/recording.mp4,lh_hh_plinko_0000,goal_0,False,assets/targets/lh_hh_plinko_0000/base1red.jpg,assets/targets/lh_hh_plinko_0000/col1blue.jpg,red,0,col1,0,topbump_3,NA,622a11c552b2b35bab72a39c,50,100,1
12,9109,100,assets/targets/lh_ll_unlink_plinko_0001/img.jpg,assets/targets/lh_ll_unlink_plinko_0001/recording.mp4,lh_ll_unlink_plinko_0001,goal_1,False,assets/targets/lh_ll_unlink_plinko_0001/base1blue.jpg,assets/targets/lh_ll_unlink_plinko_0001/col11red.jpg,blue,1,col1,1,bump_5,NA,622a11c552b2b35bab72a39c,50,100,1
13,8125,50,assets/targets/hh_hl_unlink_plinko_0240/img.jpg,assets/targets/hh_hl_unlink_plinko_0240/recording.mp4,hh_hl_unlink_plinko_0240,goal_0,False,assets/targets/hh_hl_unlink_plinko_0240/base1red.jpg,assets/targets/hh_hl_unlink_plinko_0240/col11blue.jpg,red,0,col1,1,topbump_0,maybe,622a11c552b2b35bab72a39c,0,50,0
14,9536,0,assets/targets/lh_hh_trNM_plinko_0001/img.jpg,assets/targets/lh_hh_trNM_plinko_0001/recording.mp4,lh_hh_trNM_plinko_0001,goal_2,False,assets/targets/lh_hh_trNM_plinko_0001/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0001/col11blue.jpg,red,0,col1,1,topbump_0,NA,622a11c552b2b35bab72a39c,50,100,1
0,29426,100,assets/targets/lh_hh_trNM_plinko_0001/img.jpg,assets/targets/lh_hh_trNM_plinko_0001/recording.mp4,lh_hh_trNM_plinko_0001,goal_2,False,assets/targets/lh_hh_trNM_plinko_0001/base1blue.jpg,assets/targets/lh_hh_trNM_plinko_0001/col11red.jpg,blue,1,col1,1,topbump_0,NA,5bf0b1ecaf38d100016bd609,50,100,1
1,10597,0,assets/targets/lh_hh_trNM_plinko_0000/img.jpg,assets/targets/lh_hh_trNM_plinko_0000/recording.mp4,lh_hh_trNM_plinko_0000,goal_0,False,assets/targets/lh_hh_trNM_plinko_0000/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0000/col11blue.jpg,red,0,col1,1,bottombump_0,definite,5bf0b1ecaf38d100016bd609,50,100,1
2,8136,100,assets/targets/lh_ll_unlink_plinko_0000/img.jpg,assets/targets/lh_ll_unlink_plinko_0000/recording.mp4,lh_ll_unlink_plinko_0000,goal_3,False,assets/targets/lh_ll_unlink_plinko_0000/base1blue.jpg,assets/targets/lh_ll_unlink_plinko_0000/col1red.jpg,blue,1,col1,0,topbump_0,maybe,5bf0b1ecaf38d100016bd609,50,100,1
