alpha_d,alpha_h,decay,r2
0.0,-1.0,0.09999999999999999,0.3142418996930463
0.0,-1.0,0.11849068510006666,0.3551706101319417
0.0,-1.0,0.1404004245548316,0.33739536220974836
0.0,-1.0,0.16636142493842218,0.3610732791214583
0.0,-1.0,0.1971227921517696,0.37893449175104604
0.0,-1.0,0.23357214690901223,0.38166198422691533
0.0,-1.0,0.2767612370754227,0.39863143691771935
0.0,-1.0,0.32793628590208806,0.4120367774573158
0.0,-1.0,0.3885739518570975,0.4616528041669327
0.0,-1.0,0.460423937675878,0.4563143800068994
0.0,-1.0,0.5455594781168519,0.5075960363012612
0.0,-1.0,0.646437163249006,0.5274876023378265
0.0,-1.0,0.7659678234751834,0.5606951477710816
0.0,-1.0,0.907600521681814,0.5717877551856371
0.0,-1.0,1.0754220761125606,0.6072938008109408
0.0,-1.0,1.2742749857031335,0.5975668929878473
0.0,-1.0,1.5098971606184193,0.6016967275948556
0.0,-1.0,1.789087489923219,0.5883347604276323
0.0,-1.0,2.1199020238496082,0.5454262842654325
0.0,-1.0,2.51188643150958,0.5231647053747683
0.0,-0.736842105263158,0.09999999999999999,0.4271155779621398
0.0,-0.736842105263158,0.11849068510006666,0.42486781504349425
0.0,-0.736842105263158,0.1404004245548316,0.4378883022678672
0.0,-0.736842105263158,0.16636142493842218,0.4153388465769876
0.0,-0.736842105263158,0.1971227921517696,0.4753355583238245
0.0,-0.736842105263158,0.23357214690901223,0.47296060085313735
0.0,-0.736842105263158,0.2767612370754227,0.47050667845955907
0.0,-0.736842105263158,0.32793628590208806,0.48977108748080056
0.0,-0.736842105263158,0.3885739518570975,0.5285440350867838
0.0,-0.736842105263158,0.460423937675878,0.53780665510987
0.0,-0.736842105263158,0.5455594781168519,0.5570757871100521
0.0,-0.736842105263158,0.646437163249006,0.5868542798135291
0.0,-0.736842105263158,0.7659678234751834,0.6053718760176703
0.0,-0.736842105263158,0.907600521681814,0.6109023504813261
0.0,-0.736842105263158,1.0754220761125606,0.6219242534362721
0.0,-0.736842105263158,1.2742749857031335,0.6229294742241592
0.0,-0.736842105263158,1.5098971606184193,0.6115809115557252
0.0,-0.736842105263158,1.789087489923219,0.5960704829177751
0.0,-0.736842105263158,2.1199020238496082,0.5669018758149073
0.0,-0.736842105263158,2.51188643150958,0.5540722593171845
0.0,-0.4736842105263158,0.09999999999999999,0.5407495897234814
