alpha_d,alpha_h,decay,r2
0.0,-1.0,0.09999999999999999,0.46653869826108735
0.0,-1.0,0.11849068510006666,0.4501664222840588
0.0,-1.0,0.1404004245548316,0.463035224037534
0.0,-1.0,0.16636142493842218,0.4738743327634977
0.0,-1.0,0.1971227921517696,0.49900116153405305
0.0,-1.0,0.23357214690901223,0.5232419835416564
0.0,-1.0,0.2767612370754227,0.5280993190880814
0.0,-1.0,0.32793628590208806,0.5260196678640864
0.0,-1.0,0.3885739518570975,0.5854512826187483
0.0,-1.0,0.460423937675878,0.6049290553866542
0.0,-1.0,0.5455594781168519,0.6494210892309841
0.0,-1.0,0.646437163249006,0.7184720609872364
0.0,-1.0,0.7659678234751834,0.7294981851924512
0.0,-1.0,0.907600521681814,0.7740539556687995
0.0,-1.0,1.0754220761125606,0.7906725697060881
0.0,-1.0,1.2742749857031335,0.8066342979895944
0.0,-1.0,1.5098971606184193,0.8065340303864194
0.0,-1.0,1.789087489923219,0.8017642093079461
0.0,-1.0,2.1199020238496082,0.7605154677943611
0.0,-1.0,2.51188643150958,0.7443820299486716
0.0,-0.736842105263158,0.09999999999999999,0.47307390693674894
0.0,-0.736842105263158,0.11849068510006666,0.48727845366548767
0.0,-0.736842105263158,0.1404004245548316,0.492547317839527
0.0,-0.736842105263158,0.16636142493842218,0.5062441273370443
0.0,-0.736842105263158,0.1971227921517696,0.5469775103139554
0.0,-0.736842105263158,0.23357214690901223,0.5499331576821416
0.0,-0.736842105263158,0.2767612370754227,0.5593887933832398
0.0,-0.736842105263158,0.32793628590208806,0.6045955035882331
0.0,-0.736842105263158,0.3885739518570975,0.6204618647089912
0.0,-0.736842105263158,0.460423937675878,0.6534759665852946
0.0,-0.736842105263158,0.5455594781168519,0.6906262295034051
0.0,-0.736842105263158,0.646437163249006,0.73035918641827
0.0,-0.736842105263158,0.7659678234751834,0.8006077562005441
0.0,-0.736842105263158,0.907600521681814,0.8013608966816446
0.0,-0.736842105263158,1.0754220761125606,0.8178236328285162
0.0,-0.736842105263158,1.2742749857031335,0.8129147903298901
0.0,-0.736842105263158,1.5098971606184193,0.8277397350954686
0.0,-0.736842105263158,1.789087489923219,0.7918058117853665
0.0,-0.736842105263158,2.1199020238496082,0.7815935288115019
0.0,-0.736842105263158,2.51188643150958,0.7413085139517205
0.0,-0.4736842105263158,0.09999999999999999,0.5271432762268006
0.0,-0.4736842105263158,0.11849068510006666,0.5818116660752426
0.0,-0.4736842105263158,0.1404004245548316,0.5821809911776767
0.0,-0.4736842105263158,0.16636142493842218,0.584562077429356
0.0,-0.4736842105263158,0.1971227921517696,0.6383021567378304
0.0,-0.4736842105263158,0.23357214690901223,0.6180517613993404
0.0,-0.4736842105263158,0.2767612370754227,0.6413403063220388
0.0,-0.4736842105263158,0.32793628590208806,0.6645583973049256
0.0,-0.4736842105263158,0.3885739518570975,0.7114860710301288
0.0,-0.4736842105263158,0.460423937675878,0.7154534460122098
0.0,-0.4736842105263158,0.5455594781168519,0.7410109090240499
0.0,-0.4736842105263158,0.646437163249006,0.8199501967148024
0.0,-0.4736842105263158,0.7659678234751834,0.8404694981103217
0.0,-0.4736842105263158,0.907600521681814,0.8424034121415491
0.0,-0.4736842105263158,1.0754220761125606,0.8406528274008909
0.0,-0.4736842105263158,1.2742749857031335,0.8209360917551587
0.0,-0.4736842105263158,1.5098971606184193,0.8157795231190001
0.0,-0.4736842105263158,1.789087489923219,0.7945760100841807
0.0,-0.4736842105263158,2.1199020238496082,0.761768449544613
0.0,-0.4736842105263158,2.51188643150958,0.7335205512602824
0.0,-0.21052631578947367,0.09999999999999999,0.6315162210679331
0.0,-0.21052631578947367,0.11849068510006666,0.6629245858767974
0.0,-0.21052631578947367,0.1404004245548316,0.6372848268909366
0.0,-0.21052631578947367,0.16636142493842218,0.6618325898738849
0.0,-0.21052631578947367,0.1971227921517696,0.7013730903281669
0.0,-0.21052631578947367,0.23357214690901223,0.7128671381067974
0.0,-0.21052631578947367,0.2767612370754227,0.7577042356292478
0.0,-0.21052631578947367,0.32793628590208806,0.7376788197698323
0.0,-0.21052631578947367,0.3885739518570975,0.766600101927615
0.0,-0.21052631578947367,0.460423937675878,0.7950047733606252
0.0,-0.21052631578947367,0.5455594781168519,0.8319289991053654
0.0,-0.21052631578947367,0.646437163249006,0.8423748732056613
0.0,-0.21052631578947367,0.7659678234751834,0.8313546008274968
0.0,-0.21052631578947367,0.907600521681814,0.8230171770887025
0.0,-0.21052631578947367,1.0754220761125606,0.815239589220665
0.0,-0.21052631578947367,1.2742749857031335,0.7916681304638209
0.0,-0.21052631578947367,1.5098971606184193,0.7827966249491247
0.0,-0.21052631578947367,1.789087489923219,0.7639853970345587
0.0,-0.21052631578947367,2.1199020238496082,0.7304843137009296
0.0,-0.21052631578947367,2.51188643150958,0.7004998903485629
0.0,0.05263157894736836,0.09999999999999999,0.5064889541308449
0.0,0.05263157894736836,0.11849068510006666,0.5553677713910362
0.0,0.05263157894736836,0.1404004245548316,0.5350354741417446
0.0,0.05263157894736836,0.16636142493842218,0.5809471545647975
0.0,0.05263157894736836,0.1971227921517696,0.5979218770831939
0.0,0.05263157894736836,0.23357214690901223,0.6090274050112052
0.0,0.05263157894736836,0.2767612370754227,0.6345541356936251
0.0,0.05263157894736836,0.32793628590208806,0.6625352853769895
0.0,0.05263157894736836,0.3885739518570975,0.6840208202122127
0.0,0.05263157894736836,0.460423937675878,0.7137852791121023
0.0,0.05263157894736836,0.5455594781168519,0.740475098941605
0.0,0.05263157894736836,0.646437163249006,0.7463770990638949
0.0,0.05263157894736836,0.7659678234751834,0.7705876721176597
0.0,0.05263157894736836,0.907600521681814,0.768097471063979
0.0,0.05263157894736836,1.0754220761125606,0.7673381840926318
0.0,0.05263157894736836,1.2742749857031335,0.752615130086158
0.0,0.05263157894736836,1.5098971606184193,0.7503510141542357
0.0,0.05263157894736836,1.789087489923219,0.7278109695949139
0.0,0.05263157894736836,2.1199020238496082,0.7022576038506136
0.0,0.05263157894736836,2.51188643150958,0.6842567806914128
0.0,0.3157894736842104,0.09999999999999999,0.48876631836861395
0.0,0.3157894736842104,0.11849068510006666,0.5023394957513279
0.0,0.3157894736842104,0.1404004245548316,0.4924453821145392
0.0,0.3157894736842104,0.16636142493842218,0.5407446142206601
0.0,0.3157894736842104,0.1971227921517696,0.5417075952487497
0.0,0.3157894736842104,0.23357214690901223,0.5787538520589373
0.0,0.3157894736842104,0.2767612370754227,0.5647426223536895
0.0,0.3157894736842104,0.32793628590208806,0.6003149792832456
0.0,0.3157894736842104,0.3885739518570975,0.6361298428412266
0.0,0.3157894736842104,0.460423937675878,0.6582157704573497
0.0,0.3157894736842104,0.5455594781168519,0.6856278736199755
0.0,0.3157894736842104,0.646437163249006,0.6879897904871018
0.0,0.3157894736842104,0.7659678234751834,0.7259564334695995
0.0,0.3157894736842104,0.907600521681814,0.7390601390191978
0.0,0.3157894736842104,1.0754220761125606,0.7308526128629828
0.0,0.3157894736842104,1.2742749857031335,0.7324258852538973
0.0,0.3157894736842104,1.5098971606184193,0.7203709215215229
0.0,0.3157894736842104,1.789087489923219,0.7057323164728325
0.0,0.3157894736842104,2.1199020238496082,0.6827394989177329
0.0,0.3157894736842104,2.51188643150958,0.6669718076923888
0.0,0.5789473684210527,0.09999999999999999,0.46507949957317535
0.0,0.5789473684210527,0.11849068510006666,0.4627455717261678
0.0,0.5789473684210527,0.1404004245548316,0.4783020057702656
0.0,0.5789473684210527,0.16636142493842218,0.5165216501061995
0.0,0.5789473684210527,0.1971227921517696,0.5056792456108332
0.0,0.5789473684210527,0.23357214690901223,0.5568724509191383
0.0,0.5789473684210527,0.2767612370754227,0.5638111186974196
0.0,0.5789473684210527,0.32793628590208806,0.6068353037770542
0.0,0.5789473684210527,0.3885739518570975,0.5987052817678409
0.0,0.5789473684210527,0.460423937675878,0.6273797061356603
0.0,0.5789473684210527,0.5455594781168519,0.6505489175893535
0.0,0.5789473684210527,0.646437163249006,0.6560415829519755
0.0,0.5789473684210527,0.7659678234751834,0.706719606817785
0.0,0.5789473684210527,0.907600521681814,0.6943813762273526
0.0,0.5789473684210527,1.0754220761125606,0.7033083071004612
0.0,0.5789473684210527,1.2742749857031335,0.7216515450737012
0.0,0.5789473684210527,1.5098971606184193,0.7053807353301235
0.0,0.5789473684210527,1.789087489923219,0.6827732068285778
0.0,0.5789473684210527,2.1199020238496082,0.6672777963984825
0.0,0.5789473684210527,2.51188643150958,0.6564034003671142
0.0,0.8421052631578947,0.09999999999999999,0.48726692288067497
0.0,0.8421052631578947,0.11849068510006666,0.46631692744260467
0.0,0.8421052631578947,0.1404004245548316,0.49742980073968335
0.0,0.8421052631578947,0.16636142493842218,0.5200666301126028
0.0,0.8421052631578947,0.1971227921517696,0.5152438893417384
0.0,0.8421052631578947,0.23357214690901223,0.5428330441163584
0.0,0.8421052631578947,0.2767612370754227,0.5469586082741529
0.0,0.8421052631578947,0.32793628590208806,0.5904025948157313
0.0,0.8421052631578947,0.3885739518570975,0.6085173711599449
0.0,0.8421052631578947,0.460423937675878,0.6258973906478772
0.0,0.8421052631578947,0.5455594781168519,0.6443715258428341
0.0,0.8421052631578947,0.646437163249006,0.6785185311503825
0.0,0.8421052631578947,0.7659678234751834,0.6844095833457271
0.0,0.8421052631578947,0.907600521681814,0.6960851054794466
0.0,0.8421052631578947,1.0754220761125606,0.6876083197783575
0.0,0.8421052631578947,1.2742749857031335,0.698975152806639
0.0,0.8421052631578947,1.5098971606184193,0.6931421940716233
0.0,0.8421052631578947,1.789087489923219,0.6798100429475492
0.0,0.8421052631578947,2.1199020238496082,0.6642296201909421
0.0,0.8421052631578947,2.51188643150958,0.652598392064896
0.0,1.1052631578947367,0.09999999999999999,0.42528232618561096
0.0,1.1052631578947367,0.11849068510006666,0.46071207964043426
0.0,1.1052631578947367,0.1404004245548316,0.5122845710002257
0.0,1.1052631578947367,0.16636142493842218,0.4993209684725755
0.0,1.1052631578947367,0.1971227921517696,0.5162898012510619
0.0,1.1052631578947367,0.23357214690901223,0.5311130654186075
0.0,1.1052631578947367,0.2767612370754227,0.5766400229655892
0.0,1.1052631578947367,0.32793628590208806,0.5600399001656399
0.0,1.1052631578947367,0.3885739518570975,0.5852387242086258
0.0,1.1052631578947367,0.460423937675878,0.6090949933566319
0.0,1.1052631578947367,0.5455594781168519,0.6474108126304806
0.0,1.1052631578947367,0.646437163249006,0.6544689474063188
0.0,1.1052631578947367,0.7659678234751834,0.6704434661514405
0.0,1.1052631578947367,0.907600521681814,0.6788341988180178
0.0,1.1052631578947367,1.0754220761125606,0.6908974076709483
0.0,1.1052631578947367,1.2742749857031335,0.6930110660241072
0.0,1.1052631578947367,1.5098971606184193,0.6863021619723777
0.0,1.1052631578947367,1.789087489923219,0.6788097562204486
0.0,1.1052631578947367,2.1199020238496082,0.6672766623252682
0.0,1.1052631578947367,2.51188643150958,0.650787355789533
