alpha,rmse,r
370.026,0.19187415868355984,0.6367129574448089
365.027,0.1918744125819833,0.6370473114684266
375.025,0.19187449960492362,0.6363877436450776
360.028,0.19187531074706893,0.637391193981947
380.024,0.19187538966855053,0.6360713024812704
385.023,0.19187678665192098,0.6357632856942191
355.029,0.19187690674170138,0.6377450153923316
390.022,0.19187865150216984,0.6354633631078375
350.03,0.19187925862748734,0.6381092098352105
395.021,0.19188094807678813,0.6351712214778633
345.031,0.19188242938774439,0.6384842368999588
400.02,0.19188364290775778,0.6348865634268724
340.032,0.19188648739554584,0.6388705835059826
405.019,0.19188670498678986,0.6346091064581502
410.018,0.19189010556958772,0.6343385820417645
335.033,0.1918915069322308,0.6392687659458044
415.017,0.19189381799728178,0.6340747347667639
330.034,0.19189756876251912,0.6396793321122569
420.016,0.1918978175333789,0.633817321554025
425.015,0.19190208121474445,0.6335661109247906
325.035,0.1919047607732035,0.6401028639292408
430.014,0.19190658771528887,0.6333208823203672
435.013,0.19191131722116989,0.6330814254688876
320.036,0.19191317868335428,0.6405399800078024
440.012,0.19191625131643972,0.6328475397954071
445.01099999999997,0.19192137287817898,0.6326190338719205
315.037,0.19192292683507878,0.6409913385519762
450.01,0.19192666598025238,0.632395724904213
455.009,0.19193211580490785,0.6321774382527033
310.038,0.1919341190751591,0.6414576405418537
460.008,0.19193770856151895,0.6319640069847011
465.007,0.19194343141183648,0.6317552714557112
305.039,0.19194687973937158,0.641939633224808
470.006,0.1919492724011782,0.6315510789176105
475.005,0.1919552203950395,0.6313512831517379
480.004,0.1919612650206573,0.6311557441250552
300.04,0.19196134475300886,0.6424381139497406
485.003,0.1919673966131034,0.6309643276677246
490.002,0.1919736061655229,0.630776905170561
295.041,0.19197766286311962,0.6429539343837135
495.001,0.19197988528316925,0.630593353300954
500.0,0.1919862261409191,0.6304135537359696
290.04200000000003,0.19199599702030135,0.6434880051555002
285.043,0.19201652593058643,0.6440413009765044
280.044,0.1920394458011248,0.6446148662962846
275.045,0.19206497230706554,0.6452098215577293
270.046,0.19209334281138513,0.645827370125964
265.047,0.19212481887451505,0.646468805975442
260.048,0.1921596890966423,0.6471355222316999
255.04899999999998,0.192198272342666,0.6478290206781867
250.04999999999998,0.19224092140821333,0.6485509223547249
245.051,0.1922880271951121,0.6493029793928923
240.052,0.19234002347660953,0.6500870882554726
235.05299999999997,0.19239739234681486,0.6509053045725262
230.05399999999997,0.1924606704658125,0.65175985979626
225.05499999999998,0.1925304562322444,0.6526531799315659
220.05599999999998,0.1926074180396362,0.6535879066395135
215.057,0.1926923038022584,0.6545669210584676
210.058,0.19278595197201448,0.6555933707429165
205.05899999999997,0.19288930431115503,0.6566707001849281
200.05999999999997,0.1930034207383087,0.6578026854590326
195.06099999999998,0.1931294966296329,0.6589934736199575
190.06199999999998,0.19326888303563,0.6602476275860034
185.063,0.19342311037089535,0.6615701773610144
180.064,0.19359391625327096,0.6629666785868729
175.06499999999997,0.19378327831628345,0.6644432795781824
170.06599999999997,0.19399345300166077,0.6660067981723846
165.06699999999998,0.1942270215664883,0.6676648099320619
160.06799999999998,0.19448694482419765,0.6694257494590732
155.069,0.19477662849554747,0.6712990268158252
150.07,0.19510000149506812,0.6732951612837305
145.071,0.19546161004601578,0.6754259348969129
140.07199999999997,0.1958667312364023,0.6777045683255651
135.07299999999998,0.19632151054394137,0.680145921671014
130.07399999999998,0.1968331290257998,0.6827667224452859
125.07499999999999,0.19741000736396175,0.6855858222304886
120.076,0.19806205587467574,0.6886244819025973
115.07699999999998,0.19880098205379437,0.6919066822999326
110.07799999999999,0.1996406703937565,0.6954594519124625
105.079,0.20059765326150558,0.6993131941023251
100.07999999999998,0.20169169678601162,0.7035019811898576
95.08099999999999,0.20294653218288913,0.7080637576956321
90.082,0.20439077086845242,0.7130403541549267
85.08299999999998,0.2060590509165042,0.7184771468804665
80.08399999999999,0.2079934719315941,0.7244220935669912
75.085,0.21024538239427537,0.7309237088121239
70.08599999999998,0.21287758072149654,0.7380272894412125
65.08699999999999,0.21596696149692535,0.7457683265810559
60.088,0.21960754234932092,0.7541615386896479
55.089,0.22391355758839906,0.7631834040671677
50.089999999999996,0.22902171348170983,0.7727458120144262
45.091,0.23509037911623576,0.7826595410416134
40.092,0.24229072132948573,0.7925912486530338
35.092999999999996,0.25077964532859426,0.8020310057448552
30.094,0.26063747675954074,0.8103107120601797
25.095,0.2717555656114902,0.8167156223298033
20.096,0.2837190162597588,0.8205503001656214
15.097,0.2959590071041237,0.8202610114895295
10.097999999999999,0.3087976662871313,0.8093168198546901
5.098999999999999,0.3253792901811614,0.7621938844093807
0.1,0.3642720949201081,0.5149044950933968
