,noise_position_moving,noise_collision_direction,noise_collision_elasticity,epsilon,rmse,r
0,0.0,0.0,0.0,0.15000000000000002,0.09223905040104396,0.9720695291822505
1,0.0,0.1,0.0,0.25,0.13089415544766578,0.9378799282150939
2,0.0,0.2,0.0,0.2,0.09764846385067771,0.9658505113704099
3,0.0,0.30000000000000004,0.0,0.2,0.0840624971555459,0.9749299059747425
4,0.0,0.4,0.0,0.2,0.08406663091058504,0.9752058584060564
5,0.0,0.5,0.0,0.1,0.09776284706730726,0.9706430640680502
6,0.0,0.6000000000000001,0.0,0.15000000000000002,0.08963003491122433,0.973092405583242
7,0.0,0.7000000000000001,0.0,0.1,0.1018199126218926,0.9683098841792465
8,0.0,0.8,0.0,0.2,0.08681178003657128,0.9729514921471714
9,1.0,0.0,0.0,0.25,0.11089899931229072,0.9554676601201264
10,1.0,0.1,0.0,0.2,0.08638481186580226,0.9741560721026795
11,1.0,0.2,0.0,0.15000000000000002,0.09653154004840274,0.97025899001598
12,1.0,0.30000000000000004,0.0,0.2,0.09101031528382741,0.9701782890517435
13,1.0,0.4,0.0,0.15000000000000002,0.0857293919584972,0.9748087978265295
14,1.0,0.5,0.0,0.15000000000000002,0.08345150272072789,0.9760823108379422
15,1.0,0.6000000000000001,0.0,0.15000000000000002,0.08840343980502707,0.973293319872046
16,1.0,0.7000000000000001,0.0,0.25,0.12998800716498185,0.9386914251694458
17,1.0,0.8,0.0,0.15000000000000002,0.09379246713369811,0.9714526531546261
18,2.0,0.0,0.0,0.15000000000000002,0.09767451747981216,0.9689944389463937
19,2.0,0.1,0.0,0.15000000000000002,0.09556101059451458,0.9699107803273066
20,2.0,0.2,0.0,0.15000000000000002,0.09799411257760952,0.9691568120521556
21,2.0,0.30000000000000004,0.0,0.2,0.08706927374393972,0.9734049786454402
22,2.0,0.4,0.0,0.15000000000000002,0.08601592421705027,0.9751028751133346
23,2.0,0.5,0.0,0.15000000000000002,0.08103185472211996,0.9782123657373715
24,2.0,0.6000000000000001,0.0,0.15000000000000002,0.08586189504084078,0.9754055776454907
25,2.0,0.7000000000000001,0.0,0.1,0.10157460379382618,0.9679714827433208
26,2.0,0.8,0.0,0.1,0.0956622560362138,0.9722975886852576
27,3.0,0.0,0.0,0.2,0.09158215477517098,0.9698413899007564
28,3.0,0.1,0.0,0.25,0.12007330827173227,0.9474004726423743
29,3.0,0.2,0.0,0.15000000000000002,0.08563447303047445,0.9773104617575228
30,3.0,0.30000000000000004,0.0,0.2,0.08927898175837888,0.9713703610675469
31,3.0,0.4,0.0,0.15000000000000002,0.09862151627619879,0.9688737362270224
32,3.0,0.5,0.0,0.2,0.09804825493908817,0.9654334695530701
33,3.0,0.6000000000000001,0.0,0.2,0.0842029635530502,0.9750305844291349
34,3.0,0.7000000000000001,0.0,0.2,0.09095344371292098,0.9712982180138313
35,3.0,0.8,0.0,0.2,0.08549219337419761,0.9741938825573137
36,4.0,0.0,0.0,0.2,0.08990823354785432,0.971542215373363
37,4.0,0.1,0.0,0.25,0.10262843215120342,0.9622447414357557
38,4.0,0.2,0.0,0.15000000000000002,0.0936308869244319,0.9714626450257997
39,4.0,0.30000000000000004,0.0,0.15000000000000002,0.09046190731061327,0.9743473051560609
40,4.0,0.4,0.0,0.15000000000000002,0.09312602035573377,0.9710085200421281
41,4.0,0.5,0.0,0.15000000000000002,0.08964874998725252,0.9721331605382877
42,4.0,0.6000000000000001,0.0,0.2,0.08883126677090639,0.9715528624325561
43,4.0,0.7000000000000001,0.0,0.15000000000000002,0.08885917573668005,0.9728687165784455
44,4.0,0.8,0.0,0.25,0.11031545986623226,0.9558710035762293
45,5.0,0.0,0.0,0.15000000000000002,0.08922241249816781,0.9730798138305431
46,5.0,0.1,0.0,0.2,0.08733237992473046,0.9728601057963241
47,5.0,0.2,0.0,0.15000000000000002,0.08676771207221944,0.9744903608078085
48,5.0,0.30000000000000004,0.0,0.2,0.094218498863176,0.9684340746954564
49,5.0,0.4,0.0,0.15000000000000002,0.09675905375684872,0.9681306804355979
50,5.0,0.5,0.0,0.2,0.09271711729380681,0.968929023227326
51,5.0,0.6000000000000001,0.0,0.25,0.10523092874110639,0.9601336495465344
52,5.0,0.7000000000000001,0.0,0.2,0.09095612077168226,0.9702207506205562
53,5.0,0.8,0.0,0.15000000000000002,0.0922548577437991,0.9730537745827721
54,6.0,0.0,0.0,0.2,0.08849236063867308,0.97263909456134
55,6.0,0.1,0.0,0.15000000000000002,0.09388433670936609,0.9695765385963182
56,6.0,0.2,0.0,0.2,0.0933077120925245,0.9689916889380676
57,6.0,0.30000000000000004,0.0,0.2,0.09262512483392535,0.9690502817153145
58,6.0,0.4,0.0,0.2,0.09762375080325181,0.9659020208444131
59,6.0,0.5,0.0,0.15000000000000002,0.08326038867297225,0.9764698344836894
60,6.0,0.6000000000000001,0.0,0.15000000000000002,0.09550937059092343,0.9702404705320496
61,6.0,0.7000000000000001,0.0,0.2,0.08682942908536186,0.9734401566747327
62,6.0,0.8,0.0,0.2,0.09850183672794155,0.9650564043240726
63,7.0,0.0,0.0,0.2,0.09515284123902436,0.9686244919739636
64,7.0,0.1,0.0,0.15000000000000002,0.08776203694094052,0.9749250051436524
65,7.0,0.2,0.0,0.15000000000000002,0.0893301735666622,0.9735052616213961
66,7.0,0.30000000000000004,0.0,0.15000000000000002,0.08690208159424143,0.97471796478995
67,7.0,0.4,0.0,0.15000000000000002,0.09600585407011483,0.9692901809366922
68,7.0,0.5,0.0,0.2,0.09359371684395887,0.9684142542280109
69,7.0,0.6000000000000001,0.0,0.25,0.1056768106253623,0.9597004725179578
70,7.0,0.7000000000000001,0.0,0.15000000000000002,0.10193711062045732,0.9666795296180094
71,7.0,0.8,0.0,0.2,0.09096328110148572,0.9702980947215951
72,8.0,0.0,0.0,0.25,0.11122614913720809,0.9550025769686995
73,8.0,0.1,0.0,0.2,0.09133970626344393,0.9705805703015866
74,8.0,0.2,0.0,0.15000000000000002,0.08344217402609636,0.9781550056860957
75,8.0,0.30000000000000004,0.0,0.15000000000000002,0.09696494701185378,0.9685106987284741
76,8.0,0.4,0.0,0.15000000000000002,0.0880288142245954,0.9733275064439867
77,8.0,0.5,0.0,0.2,0.08917794142807639,0.9715292935566527
78,8.0,0.6000000000000001,0.0,0.2,0.08631408529182279,0.9734884603859726
79,8.0,0.7000000000000001,0.0,0.15000000000000002,0.08874757915813945,0.9729702647095244
80,8.0,0.8,0.0,0.15000000000000002,0.09596470134734511,0.9716096769937125
81,9.0,0.0,0.0,0.15000000000000002,0.0894025307751681,0.9746080469870786
82,9.0,0.1,0.0,0.2,0.0892710511972085,0.9721719637047362
83,9.0,0.2,0.0,0.25,0.1003368793958904,0.9640177307375629
84,9.0,0.30000000000000004,0.0,0.15000000000000002,0.09131353612582577,0.9743044702246371
85,9.0,0.4,0.0,0.2,0.08508068531385725,0.9741432519508763
86,9.0,0.5,0.0,0.15000000000000002,0.08569230914482848,0.9755616828173334
87,9.0,0.6000000000000001,0.0,0.15000000000000002,0.08663113921500012,0.9755532739813181
88,9.0,0.7000000000000001,0.0,0.15000000000000002,0.09235176192497052,0.9735525265635673
89,9.0,0.8,0.0,0.2,0.09060662351937522,0.9706974831952402
90,10.0,0.0,0.0,0.2,0.08937992351335974,0.9714414040407933
91,10.0,0.1,0.0,0.2,0.08836413327171291,0.9722307577690243
92,10.0,0.2,0.0,0.15000000000000002,0.09458365930789274,0.9739540884643924
93,10.0,0.30000000000000004,0.0,0.15000000000000002,0.08947845817330768,0.9743227043713539
94,10.0,0.4,0.0,0.2,0.08581494884124034,0.9750393520182437
95,10.0,0.5,0.0,0.2,0.0902311646069509,0.9707933540061753
96,10.0,0.6000000000000001,0.0,0.15000000000000002,0.08673218264236807,0.9746569488253246
97,10.0,0.7000000000000001,0.0,0.15000000000000002,0.08682188461448657,0.974927302634655
98,10.0,0.8,0.0,0.2,0.08895339513083889,0.9726467671320451
99,11.0,0.0,0.0,0.15000000000000002,0.08964894455258482,0.9770356129939126
100,11.0,0.1,0.0,0.2,0.0851884663290081,0.9744452395023586
101,11.0,0.2,0.0,0.2,0.08500083583050885,0.9746333886810244
102,11.0,0.30000000000000004,0.0,0.15000000000000002,0.09502816642758653,0.97310707905697
103,11.0,0.4,0.0,0.2,0.08685598718418243,0.9731949957469948
104,11.0,0.5,0.0,0.2,0.08527510297688869,0.9744694170112621
105,11.0,0.6000000000000001,0.0,0.2,0.09080824214498316,0.9709683888062327
106,11.0,0.7000000000000001,0.0,0.25,0.10274049312455986,0.9625099527901289
107,11.0,0.8,0.0,0.25,0.10537850862012296,0.9602359898156139
108,12.0,0.0,0.0,0.15000000000000002,0.0858465401840723,0.9752041146326949
109,12.0,0.1,0.0,0.15000000000000002,0.08384700216552961,0.9782423618687148
110,12.0,0.2,0.0,0.2,0.09449221899703357,0.9683877492161237
111,12.0,0.30000000000000004,0.0,0.2,0.08534047263967809,0.9745754124844349
112,12.0,0.4,0.0,0.1,0.09763554912966836,0.9716471110588897
113,12.0,0.5,0.0,0.2,0.08427898604742701,0.9757487975748338
114,12.0,0.6000000000000001,0.0,0.15000000000000002,0.08690804428041124,0.9744515556865478
115,12.0,0.7000000000000001,0.0,0.1,0.09884845133538658,0.9707748693980628
