trial,rt,response,baseimg0,baseimg1,recording0,recording1,obj_name,worldtype,sim_x_result,obj_cond,bg_cond,world,cond,count,img0,img1,background_color_idx,background_color,pid,answer,img
10,8108,100,assets/targets/lh_hl_unlink_plinko_0036/col_early_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_early_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_early_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0036/col_early_foreground_1.mp4,topbump_0,definite,116.68955132448988,col_early,foreground,lh_hl_unlink_plinko_0036,col_early,13,assets/targets/lh_hl_unlink_plinko_0036/col_early_background_memory_2_0.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_early_background_memory_2_1.jpg,0,brown,585aefed73f2620001c21d75,1,assets/targets/lh_hl_unlink_plinko_0036/col_early_background_memory_2_0.jpg
11,9223,50,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_1.mp4,bottombump_3,maybe,276.0147721684369,maybecol,background,hh_hl_unlink_plinko_0252,maybecol,21,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_memory_2_1.jpg,0,brown,585aefed73f2620001c21d75,0,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_memory_2_1.jpg
12,7495,50,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_1.mp4,topbump_3,maybe,321.6282360134022,nocol,background,hh_hl_unlink_plinko_0393,nocol,10,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_2_1.jpg,0,brown,585aefed73f2620001c21d75,0,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_2_1.jpg
13,10181,100,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_1.mp4,bottombump_0,definite,486.19575377717797,col_late,background,lh_ll_unlink_plinko_0155,col_late,20,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_memory_2_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_memory_2_1.jpg,0,brown,585aefed73f2620001c21d75,1,assets/targets/lh_ll_unlink_plinko_0155/col_late_background_memory_2_0.jpg
14,5639,49,assets/targets/hh_hl_unlink_plinko_0315/nocol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/nocol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0315/nocol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0315/nocol_foreground_1.mp4,topbump_3,maybe,154.51579845404194,nocol,foreground,hh_hl_unlink_plinko_0315,nocol,9,assets/targets/hh_hl_unlink_plinko_0315/nocol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/nocol_background_memory_1_1.jpg,0,brown,585aefed73f2620001c21d75,0,assets/targets/hh_hl_unlink_plinko_0315/nocol_background_memory_1_1.jpg
15,10563,0,assets/targets/lh_ll_unlink_plinko_0091/col_late_foreground_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_late_foreground_1.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_late_foreground_0.mp4,assets/targets/lh_ll_unlink_plinko_0091/col_late_foreground_1.mp4,bottombump_1,definite,346.48818688402326,col_late,foreground,lh_ll_unlink_plinko_0091,col_late,18,assets/targets/lh_ll_unlink_plinko_0091/col_late_background_memory_2_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_late_background_memory_2_1.jpg,0,brown,585aefed73f2620001c21d75,0,assets/targets/lh_ll_unlink_plinko_0091/col_late_background_memory_2_1.jpg
0,25562,17,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_1.mp4,topbump_4,maybe,128.6795095448346,nocol,background,hh_hl_unlink_plinko_0269,nocol,17,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_memory_1_0.jpg
1,10781,25,assets/targets/lh_ll_unlink_plinko_0091/col_early_foreground_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_early_foreground_1.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_early_foreground_0.mp4,assets/targets/lh_ll_unlink_plinko_0091/col_early_foreground_1.mp4,topbump_2,definite,237.3627255637639,col_early,foreground,lh_ll_unlink_plinko_0091,col_early,17,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_memory_2_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/lh_ll_unlink_plinko_0091/col_early_background_memory_2_0.jpg
2,17568,0,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_1.mp4,topbump_3,maybe,321.6282360134022,nocol,background,hh_hl_unlink_plinko_0393,nocol,15,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/hh_hl_unlink_plinko_0393/nocol_background_memory_2_0.jpg
3,5929,60,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_1.mp4,bottombump_1,maybe,191.45561256434,maybecol,background,hh_hl_unlink_plinko_0240,maybecol,26,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,0,assets/targets/hh_hl_unlink_plinko_0240/maybecol_background_memory_1_1.jpg
4,7207,61,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_1.mp4,topbump_4,definite,537.3194495699454,col_early,background,lh_ll_unlink_plinko_0060,col_early,9,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_memory_2_0.jpg,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/lh_ll_unlink_plinko_0060/col_early_background_memory_2_0.jpg
5,4475,50,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0036/col_late_foreground_1.mp4,bottombump_2,definite,276.9182386483981,col_late,foreground,lh_hl_unlink_plinko_0036,col_late,26,assets/targets/lh_hl_unlink_plinko_0036/col_late_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0036/col_late_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,0,assets/targets/lh_hl_unlink_plinko_0036/col_late_background_memory_1_1.jpg
6,9035,38,assets/targets/lh_hl_unlink_plinko_0110/nocol_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/nocol_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0110/nocol_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0110/nocol_foreground_1.mp4,topbump_0,definite,579.1184681837389,nocol,foreground,lh_hl_unlink_plinko_0110,nocol,14,assets/targets/lh_hl_unlink_plinko_0110/nocol_background_memory_2_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/nocol_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/lh_hl_unlink_plinko_0110/nocol_background_memory_2_0.jpg
7,10358,100,assets/targets/hh_hl_unlink_plinko_0252/col_early_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/col_early_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0252/col_early_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0252/col_early_foreground_1.mp4,topbump_0,maybe,414.13704636604837,col_early,foreground,hh_hl_unlink_plinko_0252,col_early,13,assets/targets/hh_hl_unlink_plinko_0252/col_early_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/col_early_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/hh_hl_unlink_plinko_0252/col_early_background_memory_1_0.jpg
8,5332,37,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_1.mp4,bottombump_1,maybe,425.00795682087204,maybecol,background,hh_hl_unlink_plinko_0315,maybecol,29,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/hh_hl_unlink_plinko_0315/maybecol_background_memory_2_0.jpg
9,3664,50,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_1.mp4,bottombump_0,maybe,66.58860255831411,maybecol,foreground,hh_hl_unlink_plinko_0105,maybecol,33,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,0,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_1.jpg
10,9439,100,assets/targets/hh_hl_unlink_plinko_0202/nocol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0202/nocol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0202/nocol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0202/nocol_foreground_1.mp4,topbump_2,maybe,342.13035420543804,nocol,foreground,hh_hl_unlink_plinko_0202,nocol,14,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/hh_hl_unlink_plinko_0202/nocol_background_memory_1_0.jpg
