,rt,response,baseimg0,baseimg1,recording0,recording1,obj_name,worldtype,sim_x_result,obj_cond,bg_cond,world,cond,count,img0,img1,background_color_idx,background_color,pid,answer,img
921,8068,67,assets/targets/hh_hl_unlink_plinko_0252/maybecol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/maybecol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0252/maybecol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0252/maybecol_foreground_1.mp4,bottombump_3,maybe,414.13704636604837,maybecol,foreground,hh_hl_unlink_plinko_0252,maybecol,18,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_memory_2_1.jpg,0,brown,6325b8a7fcafb1208f542e93,1,assets/targets/hh_hl_unlink_plinko_0252/maybecol_background_memory_2_0.jpg
922,6462,21,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_1.mp4,topbump_1,maybe,57.814349539806756,col_early,background,hh_hl_unlink_plinko_0315,col_early,7,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_1_1.jpg,0,brown,6325b8a7fcafb1208f542e93,1,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_1_0.jpg
923,3054,61,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_0.jpg,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_1.jpg,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_0.mp4,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_1.mp4,topbump_2,definite,280.68451640601694,nocol,background,lh_hl_unlink_plinko_0111,nocol,9,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_memory_1_1.jpg,0,brown,6325b8a7fcafb1208f542e93,0,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_memory_1_1.jpg
924,6931,14,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_1.mp4,bottombump_0,definite,468.6044073920636,col_late,foreground,lh_hl_unlink_plinko_0110,col_late,15,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_1_1.jpg,0,brown,6325b8a7fcafb1208f542e93,1,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_1_0.jpg
925,4705,71,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_1.mp4,bottombump_0,maybe,66.58860255831411,maybecol,background,hh_hl_unlink_plinko_0105,maybecol,20,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_2_1.jpg,0,brown,6325b8a7fcafb1208f542e93,0,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_2_1.jpg
926,5246,81,assets/targets/hh_hl_unlink_plinko_0269/nocol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0269/nocol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0269/nocol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0269/nocol_foreground_1.mp4,topbump_4,maybe,128.6795095448346,nocol,foreground,hh_hl_unlink_plinko_0269,nocol,10,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_memory_1_1.jpg,0,brown,6325b8a7fcafb1208f542e93,0,assets/targets/hh_hl_unlink_plinko_0269/nocol_background_memory_1_1.jpg
927,4736,72,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_1.mp4,topbump_2,maybe,210.6695830692287,nocol,background,hh_hl_unlink_plinko_0246,nocol,9,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_memory_2_1.jpg,0,brown,6325b8a7fcafb1208f542e93,1,assets/targets/hh_hl_unlink_plinko_0246/nocol_background_memory_2_0.jpg
928,6777,65,assets/targets/lh_hl_unlink_plinko_0111/nocol_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0111/nocol_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0111/nocol_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0111/nocol_foreground_1.mp4,topbump_2,definite,280.68451640601694,nocol,foreground,lh_hl_unlink_plinko_0111,nocol,11,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_memory_2_0.jpg,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,0,assets/targets/lh_hl_unlink_plinko_0111/nocol_background_memory_2_1.jpg
929,4500,22,assets/targets/hh_hl_unlink_plinko_0269/col_early_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0269/col_early_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0269/col_early_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0269/col_early_foreground_1.mp4,topbump_0,maybe,128.6795095448346,col_early,foreground,hh_hl_unlink_plinko_0269,col_early,12,assets/targets/hh_hl_unlink_plinko_0269/col_early_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0269/col_early_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/hh_hl_unlink_plinko_0269/col_early_background_memory_2_0.jpg
930,3536,96,assets/targets/hh_hl_unlink_plinko_0315/col_early_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0315/col_early_foreground_1.mp4,topbump_1,maybe,154.51579845404194,col_early,foreground,hh_hl_unlink_plinko_0315,col_early,11,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_2_0.jpg
